pruid,prname,date,numdeaths,numtotal,numtested,numrecover,percentrecover,numtoday,percentoday
35,Ontario,26-04-2020,835,14432,222129,8000,55.43,437,0.031
24,Quebec,26-04-2020,1515,24107,195577,5342,22.16,840,0.036
10,Newfoundland and Labrador,26-04-2020,3,258,7440,219,84.88,1,0.004
13,New Brunswick,26-04-2020,0,118,12525,111,94.07,0,0
12,Nova Scotia,26-04-2020,24,873,26871,439,50.29,8,0.009
11,Prince Edward Island,26-04-2020,0,26,2688,24,92.31,0,0
60,Yukon,26-04-2020,0,11,908,8,72.73,0,0
61,Northwest Territories,26-04-2020,0,5,1575,5,100,0,0
62,Nunavut,26-04-2020,0,0,368,0,N/A,0,0
99,Repatriated travellers,26-04-2020,,13,,,,0,0
1,Canada,26-04-2020,2560,46895,707508,17321,36.94,1541,0.034
59,British Columbia,27-04-2020,103,1998,67289,1190,59.56,50,0.026
48,Alberta,27-04-2020,75,4696,128860,1664,35.43,216,0.048
47,Saskatchewan,27-04-2020,5,365,26642,288,78.9,12,0.034
46,Manitoba,27-04-2020,6,272,23149,205,75.37,1,0.004
35,Ontario,27-04-2020,892,14856,234268,8525,57.38,424,0.029
24,Quebec,27-04-2020,1599,24982,200172,5517,22.08,875,0.036
10,Newfoundland and Labrador,27-04-2020,3,258,7641,221,85.66,0,0
13,New Brunswick,27-04-2020,0,118,12648,112,94.92,0,0
12,Nova Scotia,27-04-2020,24,900,27437,509,56.56,27,0.031
11,Prince Edward Island,27-04-2020,0,26,2726,24,92.31,0,0
60,Yukon,27-04-2020,0,11,919,8,72.73,0,0
61,Northwest Territories,27-04-2020,0,5,1585,5,100,0,0
62,Nunavut,27-04-2020,0,0,369,0,N/A,0,0
99,Repatriated travellers,27-04-2020,,13,,,,0,0
1,Canada,27-04-2020,2707,48500,733705,18268,37.67,1605,0.034
59,British Columbia,28-04-2020,105,2053,68935,1231,59.96,55,0.028
48,Alberta,28-04-2020,80,4850,131772,1800,37.11,154,0.033
47,Saskatchewan,28-04-2020,5,366,26915,291,79.51,1,0.003
46,Manitoba,28-04-2020,6,272,23379,209,76.84,0,0
35,Ontario,28-04-2020,951,15381,244766,8964,58.28,525,0.035
24,Quebec,28-04-2020,1682,25757,204472,5841,22.68,775,0.031
10,Newfoundland and Labrador,28-04-2020,3,258,7905,222,86.05,0,0
13,New Brunswick,28-04-2020,0,118,12907,114,96.61,0,0
12,Nova Scotia,28-04-2020,27,915,28108,522,57.05,15,0.017
11,Prince Edward Island,28-04-2020,0,27,2726,24,88.89,1,0.038
60,Yukon,28-04-2020,0,11,953,8,72.73,0,0
61,Northwest Territories,28-04-2020,0,5,1585,5,100,0,0
62,Nunavut,28-04-2020,0,0,377,0,N/A,0,0
99,Repatriated travellers,28-04-2020,,13,,,,0,0
1,Canada,28-04-2020,2859,50026,754800,19231,38.44,1526,0.031
59,British Columbia,29-04-2020,109,2087,71210,1305,62.53,34,0.017
48,Alberta,29-04-2020,87,5165,136511,1953,37.81,315,0.065
47,Saskatchewan,29-04-2020,6,383,27328,291,75.98,17,0.046
46,Manitoba,29-04-2020,6,273,23817,213,78.02,1,0.004
35,Ontario,29-04-2020,996,15728,255942,9612,61.11,347,0.023
24,Quebec,29-04-2020,1761,26594,208979,6048,22.74,837,0.032
10,Newfoundland and Labrador,29-04-2020,3,258,8191,225,87.21,0,0
13,New Brunswick,29-04-2020,0,118,13121,114,96.61,0,0
12,Nova Scotia,29-04-2020,28,935,28731,529,56.58,20,0.022
11,Prince Edward Island,29-04-2020,0,27,2810,24,88.89,0,0
60,Yukon,29-04-2020,0,11,973,8,72.73,0,0
61,Northwest Territories,29-04-2020,0,5,1608,5,100,0,0
62,Nunavut,29-04-2020,0,0,392,0,N/A,0,0
99,Repatriated travellers,29-04-2020,,13,,,,0,0
1,Canada,29-04-2020,2996,51597,779613,20327,39.4,1571,0.031
59,British Columbia,30-04-2020,111,2112,73479,1322,62.59,25,0.012
48,Alberta,30-04-2020,89,5355,141060,2161,40.35,190,0.037
47,Saskatchewan,30-04-2020,6,389,27786,295,75.84,6,0.016
46,Manitoba,30-04-2020,6,275,24304,220,80,2,0.007
35,Ontario,30-04-2020,1082,16187,268447,10205,63.04,459,0.029
24,Quebec,30-04-2020,1859,27538,214047,6299,22.87,944,0.035
10,Newfoundland and Labrador,30-04-2020,3,258,8376,225,87.21,0,0
13,New Brunswick,30-04-2020,0,118,13598,114,96.61,0,0
12,Nova Scotia,30-04-2020,28,947,29421,545,57.55,12,0.013
11,Prince Edward Island,30-04-2020,0,27,2922,24,88.89,0,0
60,Yukon,30-04-2020,0,11,984,9,81.82,0,0
61,Northwest Territories,30-04-2020,0,5,1629,5,100,0,0
62,Nunavut,30-04-2020,0,1,396,0,0,1,0
99,Repatriated travellers,30-04-2020,,13,,,,0,0
1,Canada,30-04-2020,3184,53236,806449,21424,40.24,1639,0.032
59,British Columbia,01-05-2020,112,2145,75544,1357,63.26,,
48,Alberta,01-05-2020,92,5573,145420,2359,42.33,,
47,Saskatchewan,01-05-2020,6,415,28417,297,71.57,,
46,Manitoba,01-05-2020,6,279,24975,235,84.23,,
35,Ontario,01-05-2020,1121,16608,284438,10825,65.18,,
24,Quebec,01-05-2020,2022,28648,219367,6700,23.39,,
10,Newfoundland and Labrador,01-05-2020,3,259,8545,230,88.8,,
13,New Brunswick,01-05-2020,0,118,13998,116,98.31,,
12,Nova Scotia,01-05-2020,29,959,30149,592,61.73,,
11,Prince Edward Island,01-05-2020,0,27,3019,24,88.89,,
60,Yukon,01-05-2020,0,11,999,11,100,,
61,Northwest Territories,01-05-2020,0,5,1629,5,100,,
62,Nunavut,01-05-2020,0,1,421,0,0,,
99,Repatriated travellers,01-05-2020,,13,,,,,
1,Canada,01-05-2020,3391,55061,836921,22751,41.32,,
